Va !	Ir !
Essaie de ne rien oublier.	Tente não esquecer nada.
Je t'enverrai le calendrier.	Eu lhe enviarei o calendário.
Il est pas encore arrivé, Tom ?	Ele ainda não chegou, Tom?
Tom ira loin.	Tom vai longe.
Tu es sur la mauvaise route.	Você está na estrada errada.
Tout ce que tu as à faire, c'est sourire.	Tudo o que você precisa fazer é sorrir.
Pourquoi me demandes-tu cela ?	Porque me pergunta isso?
Il courut vers la porte à toute vitesse.	Ele correu para a porta a toda velocidade.
Vous devez apprendre de vos erreurs.	Você deve aprender com seus erros.
Tu as dit que tu voulais une famille.	Você disse que queria uma família.
C'est Tom qui a fait cela.	É Tom quem fez isso.
Savais-tu que Tom a un fils?	Você sabia que Tom tem um filho?
Espérons que Tom avait raison.	Espero que Tom estivesse certo.
Elle lui a acheté un appareil photo.	Ela comprou uma câmera.
Je suis plombier.	Eu sou um encanador.
Pourrais-je utiliser ton téléphone s'il te plaît ?	Posso usar seu telefone por favor?
Avez-vous pris un petit-déjeuner ce matin ?	Você já tomou um café da manhã esta manhã?
Tom joue au tennis avec Marie.	Tom joga tênis com Maria.
Il est français de naissance mais est désormais citoyen des EUA.	Ele é francês de nascimento, mas agora é um cidadão da EUA.
Tom pensait que Mary pourrait le faire.	Tom pensou que Mary poderia fazer isso.
Qu'est-ce que vous faites ce soir ?	O que você fará esta noite ?
Parle-moi de ça.	Conte-me sobre isso.
J'aimerais faire mes études à Paris.	Eu gostaria de estudar Paris.
Je doute que ce soit de quelque intérêt pour vous.	Eu duvido que seja algum interesse para você.
Il aime travailler au jardin.	Ele gosta de trabalhar no jardim.
D'accord, je le ferai.	Ok, eu farei isso.
Il faut qu'elles changent leur état d'esprit.	Eles devem mudar seu estado de espírito.
Je n'ai jamais pris conscience de combien tu me manquerais.	Eu nunca percebi o quanto você sente sua falta.
Je n'ai pas aimé cela.	Eu não gostei disso.
Elles étaient cousines.	Eles eram primos.
Tom a une grande bouche.	Tom tem uma boca grande.
Il faut que tu commences maintenant.	Você tem que começar agora.
Je ne te comprend vraiment pas.	Eu realmente não entendo você.
Je n'ai pas vraiment de famille.	Eu realmente não tenho uma família.
Je viens de le voir à l'instant.	Acabei de ver agora.
J'aurais aimé que vous puissiez être venus avec moi.	Eu teria gostado de você ter vindo comigo.
Que penses-tu du nouvel enseignant ?	O que você acha do novo professor?
Le but du jeu est qu'il n'a pas de but.	O objetivo do jogo é que não tem um objetivo.
Pars, je te prie.	Pars, eu te imploro.
Est-ce que nous pouvons venir demain ?	Podemos vir amanhã?
Tout cet argent est-il à toi ?	Todo esse dinheiro é isso?
C'est un organe gigantesque.	É um órgão gigantesco.
Nous nous y sommes reposés une heure.	Nós descansamos lá uma hora.
Je te tiens au courant.	Eu aviso você.
Mon professeur est pointilleux sur la grammaire.	Meu professor é exigente na gramática.
Je suis conscient de tout cela.	Estou ciente de tudo isso.
Elle a demandé après son ami.	Ela perguntou depois de sua amiga.
Je ne l'avais jamais vu auparavant.	Eu nunca tinha visto ele antes.
Six heures vous conviendrait-il ?	As seis horas são adequadas para você?
Je secouai la tête et dis non.	Eu balancei a cabeça e digo.
Je pars ce soir.	Eu deixo esta noite.
Tu es là tôt.	Você está cedo.
Nous nous sommes relayés pour nettoyer la chambre.	Nós nos recuperamos para limpar a sala.
Que s'est-il passé ensuite ?	O que aconteceu depois ?
Un chien intelligent n'aboie jamais sans raison.	Um cão inteligente nunca cai sem razão.
Nous avons dû rentrer sous la pluie.	Nós tivemos que voltar na chuva.
Nous avons beaucoup de travail devant nous.	Nós temos muito trabalho diante de nós.
Comment osez-vous ainsi parler ?	Como você se atreve a falar?
Que fait ta sœur ?	O que a sua irmã faz?
Dans le dernier typhon, le vent soufflé à plus de 200 kilomètres à l'heure !	No último tufão, o vento soprou mais de 200 quilômetros!
Il est tard. Tu dois rentrer.	Está tarde. Você tem que voltar.
Tom a essayé de lever la boîte.	Tom tentou levantar a caixa.
Combien de temps faut-il pour se rendre à Boston ?	Quanto tempo demora para chegar a Boston?
Je veux ton affection.	Eu quero o seu carinho.
Éteignez votre cigarette s'il vous plaît.	Desligue o cigarro por favor.
Nous étions tout seuls.	Nós estávamos sozinhos.
Pourquoi tu me parles ?	Por que você está falando comigo ?
Ils avaient tous la voix rauque après avoir tant crié.	Todos eles tinham voz rouca depois de chorar muito.
Je les ai tout de suite reconnus et Tom aussi.	Eu imediatamente os reconheci e Tom também.
C'est un beau pays à visiter mais je n'y vivrais pas.	É um belo país para visitar, mas eu não moraria lá.
Tom s'est accidentellement tiré dans le pied.	Tom acidentalmente disparou no pé.
N'oubliez pas de mettre la lettre au courrier.	Não se esqueça de colocar a carta ao correio.
Vous n'êtes pas obligés de venir.	Você não precisa vir.
J’aimerais séjourner dans votre hôtel.	Eu gostaria de ficar no seu hotel.
Il est tardivement arrivé à maturité.	Está atrasado aconteceu.
Avez-vous autre chose à ajouter ?	Você tem mais alguma coisa para adicionar?
Ils vont bientôt revenir.	Eles logo voltarão.
Tom est malade mental.	Tom é doente mental.
C'est un prix beaucoup plus élevé que celui auquel je m'attendais.	Este é um preço muito maior do que o que eu esperava.
Tous deux rirent.	Ambos riem.
Le bateau a chaviré.	O barco capsizado.
C'est tout ce que j'ai pu trouver.	Isso é tudo que eu pude encontrar.
Je suis fatigué. Ça a été une longue journée.	Estou cansado. Tem sido um longo dia.
Il m'a sculpté une poupée de bois.	Ele me esculpiu uma boneca de madeira.
C'est dégoûtant.	É nojento.
Je vous suggère d'engager un avocat.	Eu sugiro que você contrate um advogado.
Tiens la caisse avec les deux mains.	Mantenha a caixa com as duas mãos.
Il a un cœur d'or.	Ele tem um coração de ouro.
Cette offre semble trop bonne pour être vraie. Où est l'arnaque ?	Esta oferta parece boa demais para ser verdade. Onde é o golpe?
Je ne pense pas que tu devrais faire ça.	Eu não acho que você deveria fazer isso.
Tu fais des manières.	Você faz maneiras.
La réunion aura lieu demain.	A reunião será realizada amanhã.
Peux-tu réserver ce siège pour moi ?	Você pode reservar este assento para mim?
Pourquoi ai-je fait ça ?	Por que eu fiz isso?
Sont-elles mortes ?	Eles estão mortos?
Je me demandais quand tu allais me dire que tu m'aimais.	Eu me perguntei quando você ia me dizer que você me amava.
J'aurais dû être plus attentif à l'école.	Eu deveria ter sido mais atento à escola.
L'information a été validée.	A informação foi validada.
Je sais déjà ce que Tom veut me dire.	Eu já sei o que Tom quer me dizer.
Elles ont manqué la date limite.	Eles perderam o prazo.
Tu es sur la bonne pente.	Você está no declive certo.
Ma mère ne l'a pas mentionné.	Minha mãe não mencionou isso.
Elle a été conseillée par lui sur comment rester en bonne santé.	Ela foi recomendada por ele sobre como se manter saudável.
Je veux que tu sois mon ami.	Eu quero que você seja meu amigo.
Je dors où ?	Onde eu durmo?
J'adore les fleurs.	Eu amo flores.
Cesse de parler, je te prie !	Pare de falar, peço-lhe!
Mon université a un dortoir.	Minha universidade tem um dormitório.
Reprendrez-vous un peu de thé ?	Você vai retomar um pouco de chá?
Je te prie de m'excuser, mais je me sens malade.	Eu te imploro para me desculpar, mas me sinto doente.
C'est le meilleur gâteau que j'ai jamais mangé.	É o melhor bolo que já comi.
Je ne joue pas.	Não estou jogando.
Cela ne sert à rien de faire cela.	É inútil fazer isso.
Respectez-vous et vous serez respectées.	Respeite você e você será respeitado.
Qui pourrait faire ce genre de chose ?	Quem poderia fazer esse tipo de coisa?
Je comprends, mais je ne peux pas être d'accord.	Eu entendo, mas não posso concordar.
Nous mentons tous.	Todos nós mentimos.
De l'air s'échappe du pneu.	A ar escapa do pneu.
Tom finit par avouer.	Tom acaba admitindo.
Je ne sais pas ce que je peux faire de plus pour aider.	Eu não sei o que posso fazer mais para ajudar.
J'en ai besoin tout de suite.	Eu preciso disso imediatamente.
Elles sont toutes en train de nous regarder.	Eles estão todos olhando para nós.
J'ai retiré mes chaussures.	Eu removi meus sapatos.
Je joue beaucoup au volley.	Eu jogo muito no voleibol.
Nous sommes partis sans dire à personne que nous partions.	Nós saímos sem dizer a ninguém que saímos.
Nous appartenons tous à la même équipe.	Todos nós pertencemos ao mesmo time.
Elles savent ce qui s'est passé.	Eles sabem o que aconteceu.
As-tu le moindre argent liquide ?	Você tem o menor dinheiro?
Pourquoi n'avez-vous pas déjeuné aujourd'hui ?	Por que você não almoçou hoje?
Elle nous a montré un joli chapeau.	Ela nos mostrou um bom chapéu.
C’est qui ?	Quem é esse ?
Je veux être digne de ton amitié.	Eu quero ser digno de sua amizade.
Je ne trouve pas ça réconfortant.	Eu não acho reconfortante.
Ils se battirent jusqu'au bout.	Eles lutam até o fim.
Si j'avais le temps, je pourrais t'aider.	Se eu tivesse tempo, eu poderia ajudá-lo.
Nous gâchâmes beaucoup de temps.	Nós estragamos muito tempo.
Je n'arrive pas à croire que tu viennes de faire cela.	Eu não consigo acreditar que você venha fazer isso.
Il lave la voiture chaque semaine.	Ele lava o carro toda semana.
Tu pourrais avoir besoin de ceci.	Você pode precisar disso.
Est-ce que vous viendrez à la fête ?	Você vai para a festa?
Veuillez tourner à droite.	Por favor, vire à direita.
C'est ce que j'ai toujours voulu faire.	Isso é o que eu sempre quis fazer.
L'assiette est sale.	A placa está suja.
Les accidents sont inévitables.	Acidentes são inevitáveis.
Ce serait un bon endroit pour élever des enfants.	Seria um bom lugar para criar crianças.
Démarre le moteur !	Ligue o motor !
Je considère que l'affaire est close.	Eu considero que o caso está fechado.
J'ai oublié de fermer la porte à clé.	Eu esqueci de fechar a porta-chave.
Il n'y a pas de quoi avoir peur.	Não há nada para ter medo.
Je déteste vraiment les produits laitiers.	Eu realmente odeio produtos lácteos.
Je pense que tu as besoin de sommeil.	Eu acho que você precisa de sono.
Un avion vole au-dessus de la ville.	Uma aeronave voa acima da cidade.
Décembre a 31 jours.	Dezembro tem 31 dias.
Je pense que nous ferions mieux d'attendre un peu plus longtemps.	Eu acho que é melhor esperar um pouco mais.
C'est notre terrain de baseball.	É o nosso campo de beisebol.
Tom est libre.	Tom é gratuito.
J'ai été chanceux aujourd'hui.	Tenho sorte hoje.
Nous nous dirigeons à l'ouest.	Estamos indo para o oeste.
C'est étrange que tu ne saches rien à ce sujet.	É estranho que você não saiba nada sobre isso.
Toutes mes affaires ont disparu.	Todo o meu negócio desapareceu.
Ne faites confiance à personne !	Não confie em ninguém!
Nous avons tous les deux failli rater le bus.	Nós dois falhamos no ônibus.
Voulez-vous que je réchauffe cela ?	Você quer que eu aqueça isso?
Comment avance la situation?	Como avance a situação?
Prends-en un, je te prie.	Tome um, eu te imploro.
J'attends le déjeuner.	Estou esperando o almoço.
Vous ne faites face à aucun danger.	Você não enfrenta perigo.
Le mauvais temps nous a empêchés de sortir.	Mau tempo impediu-nos.
Hier soir nous avons travaillé jusqu'à dix heures.	Ontem à noite, trabalhamos até dez horas.
Tu ne peux pas te tuer en retenant ta respiration.	Você não pode te matar, mantendo sua respiração.
C'était notre but.	Foi o nosso objetivo.
Ne me forcez pas à tirer sur la gâchette !	Não me force a atirar no gatilho!
Nous sommes allés à Boston.	Nós fomos a Boston.
J'espère que cela aide.	Espero que ajude.
C'est à ce moment précis que la bombe s'est désactivée.	É neste momento que a bomba desativou.
Elle l'attaqua à coups de poings.	Ela o atacou com os punhos.
Rendez-vous à la gare à 14 h 30.	Vá para a estação de trem às 14h30.
Je suis tombée sur une de mes vieilles amies à la fête de l'autre jour.	Eu caí em um dos meus velhos amigos na festa no outro dia.
Ne sois pas déraisonnable.	Não seja irracional.
Je suis gelé.	Estou congelando.
J'ai dit à Tom qu'il devait étudier le français.	Eu disse a Tom que ele tinha que estudar francês.
Pourquoi n'arrêtes-tu pas ?	Por que você não pára?
Je détesterais voir cela se reproduire.	Eu odiaria isso reproduzir.
Veux-tu fermer la porte, je te prie ?	Você quer fechar a porta, por favor?
Ma peau est très sensible.	Minha pele é muito sensível.
Regardons la réalité en face.	Vamos ver a realidade na frente.
Son unique plaisir est d'écouter de la musique.	Seu prazer único é ouvir música.
Tout le monde parmi nous avait le mal du pays.	Todos entre nós machucaram o país.
Son discours était excellent.	Seu discurso foi excelente.
Je préfère marcher plutôt que d'attendre le prochain bus.	Eu prefiro andar em vez de esperar pelo próximo ônibus.
Il est allé à New York pour affaires.	Ele foi para Nova York para negócios.
Tom n'est pas en danger.	Tom não está em perigo.
Je ne mange pas autant que toi.	Eu não como tanto quanto você.
Je ne m'étais jamais imaginé que je ressentirais cela à ton égard.	Eu nunca imaginei que sentiria isso para você.
Je n'ai pas lu ce livre.	Eu não li este livro.
Il est deux ans plus vieux que Mary.	São dois anos mais velhos que Maria.
Êtes-vous en train de me dire que c'est de ma faute ?	Você está me dizendo que é minha culpa?
Il m'a donné dix mille yen.	Ele me deu dez mil ienes.
Je pensais que tu serais partie et m'aurais quitté.	Eu pensei que você faria parte e me deixou.
La Seine traverse Paris.	O Sena atravessa Paris.
Tom t'a induit en erreur.	Tom enganou você.
Êtes-vous occupés demain matin ?	Você está ocupado amanhã de manhã?
Les crimes sont en augmentation.	Crimes estão aumentando.
Tu comprends ce que je veux dire ?	Você entende o que quero dizer?
Je ne suis pas le type dont tu veux qu'il prenne cette décision.	Eu não sou o cara que você quer que ele tome essa decisão.
Cette maison a de solides fondations.	Esta casa tem fortes fundações.
J'aime la cuisine japonaise.	Eu gosto de cozinha japonesa.
Vous ne pouvez pas simplement vous en aller comme ça.	Você não pode apenas ir assim.
Tom a amassé une grande fortune.	Tom acumulou uma grande fortuna.
J'aurais dû y être avec vous.	Eu deveria estar com você.
Les chats peuvent attraper les souris.	Gatos podem pegar ratos.
Je suis très heureux de vous revoir.	Estou muito feliz em vê-lo novamente.
Mes parents veulent faire connaissance avec toi.	Meus pais querem conhecer você.
Tom est un garçon honnête.	Tom é um menino honesto.
J'ai eu le sentiment que vous diriez cela.	Eu senti que você diria isso.
Tom et Mary décidèrent de partir.	Tom e Maria decidiram sair.
Est-ce que je viens de faire ça ?	Eu só fiz isso?
Il est pété de thune.	É peido de thune.
Tu n'as pas tenu ta promesse.	Você não mantinha sua promessa.
J'ai quelques biens dans le coffre-fort de l'hôtel.	Eu tenho alguma propriedade no hotel seguro.
Elle était brave.	Ela era corajosa.
Quoi qu’il fasse, il le fait bien.	O que quer que ele faça, ele faz bem.
Ça sera en test.	Estará no teste.
Je ne suis pas en train de rêver.	Eu não estou sonhando.
Des rennes tirent le traîneau du Père Noël.	Rennes derive o trenó do Papai Noel.
Nous nous sommes dépêchés pour attraper le bus.	Nós apressamos para pegar o ônibus.
Je voudrais savoir qui a pris ces photos.	Eu gostaria de saber quem tirou essas fotos.
Je ne peux pas vous permettre de faire ça.	Eu não posso me dar ao luxo de fazer isso.
Comment avez-vous gagné votre vie à Tokyo ?	Como você ganhou sua vida em Tóquio?
Les gens me demandent toujours pourquoi je fais ce que je fais.	As pessoas sempre me perguntam por que faço o que faço.
Personne ne le fait.	Ninguém faz isso.
Est-ce que quelqu'un a une allumette ?	Alguém tem um jogo?
Tom a juste disparu.	Tom apenas desapareceu.
Allons de ce côté.	Vamos neste lado.
Sortons nous asseoir dans le jardin.	Vamos sair para se sentar no jardim.
Il était d'usage qu'une fille ne pouvait se marier que si elle disposait d'une dote.	Era costumeiro que uma garota só poderia se casar se ela tivesse um ponto.
À qui est ce cheval ?	De quem é o cavalo?
Je ne suis pas satisfaite.	Eu não estou satisfeito.
Il est allé skier.	Ele foi para esquiar.
Je ne vois pas comment je peux refuser.	Eu não vejo como posso recusar.
J'ai voyagé à travers toute l'Europe.	Eu viajei pela Europa.
Les soldats disposaient d'armes d'une puissance de feu supérieure.	Os soldados tinham armas de fogo mais alto.
N'as-tu reçu aucun cadeau de tes parents ?	Você não recebeu nenhum presente de seus pais?
Je sais que c'est une surprise.	Eu sei que é uma surpresa.
J'ai soudain été pris de vertiges.	De repente, fui tirado da vertigem.
Je ferai mes devoirs après avoir regardé la télévision.	Eu farei meu dever de casa depois de assistir TV.
Tom regarda à travers les jumelles.	Tom olhou através dos binóculos.
Cela m'est arrivé plusieurs fois.	Aconteceu comigo várias vezes.
Ce n'était pas mon intention d'offenser Tom.	Não foi minha intenção ofender Tom.
Pourquoi n'aidez-vous pas ?	Por que você não concorda?
Je reprends tout.	Eu tiro tudo de volta.
M'accompagnerais-tu pour une balade ?	Você me acompanharia por uma caminhada?
Je ne suis pas un locuteur natif.	Eu não sou um falante nativo.
Ne confonds pas les deux.	Não confunda ambos.
Viendras-tu au cinéma avec moi ?	Você vai para o cinema comigo?
Voici ton sac !	Aqui está sua bolsa!
Je n'arrive pas à m'arrêter de regarder.	Eu não posso parar de me ver.
À Singapour, la flagellation est une façon de punir un criminel.	Em Cingapura, flagelação é uma maneira de punir criminoso.
C'est une situation étrange.	É uma situação estranha.
L'oiseau était couvert de plumes blanches.	O pássaro estava coberto de penas brancas.
Il va le regretter.	Ele vai se arrepender.
Il avait tout d'un roi.	Ele tinha tudo de um rei.
Elle lui a parlé de l'affaire.	Ela contou sobre o caso.
Où est tout le monde ?	Onde está todo mundo?
Je crois en cette méthode d'apprentissage.	Eu acredito neste método de aprendizagem.
Qu'y faisiez-vous toutes les deux, de toutes façons ?	O que vocês dois estão fazendo em qualquer caso?
Pouvez-vous regarder de l'autre côté, je vous prie ?	Você pode olhar do outro lado, por favor?
Il teignit ses cheveux en noir.	Ele ensinou seu cabelo em preto.
Je crains que nous ne soyons pas à l'heure.	Tenho medo de não nos passar a tempo.
Tom mange principalement des fruits et des légumes, et mange de la viande environ une fois par semaines seulement.	Tom come principalmente frutas e legumes, e come carne uma vez por semana.
Il a continué de marcher pendant un moment.	Ele continuou a andar por um momento.
Il est difficile de rattrapper le temps perdu.	É difícil atrair o tempo perdido.
Je ne suis pas un super charpentier.	Eu não sou um super carpinteiro.
Tu es très sympa.	Você é muito legal.
Je pense que le nombre de mariages civils est en augmentation.	Eu acho que o número de casamentos civis está aumentando.
Elle habite à quelques rues d'ici.	Ela mora em poucos quarteirões daqui.
Je suis persuadée que Tom ne connaît pas Marie.	Estou convencido de que Tom não conhece Marie.
Pourquoi pars-tu si tôt ?	Por que você vai tão cedo?
J'ignore comment vous contacter.	Eu não sei como entrar em contato com você.
Quand commencent tes congés de Noël ?	Quando sua licença de Natal?
Elle était impatiente de rentrer chez elle.	Ela estava ansiosa para ir para casa.
Apporte-moi mes pantoufles !	Traga-me meus chinelos!
Vous avez une idée de ce qu'il est arrivé ?	Você tem uma ideia do que aconteceu?
Le chat a rentré ses griffes.	O gato voltou suas garras.
Je flaire le sang.	Eu voei sangue.
Je me réveille à six heures, mais je ne me lève pas avant sept heures.	Eu acordo às seis horas, mas não me levanto antes das sete horas.
Les singes peuvent apprendre de nombreux tours.	Macacos podem aprender muitas torres.
Il est soi-disant l'homme le plus riche du monde.	É chamado homem mais rico do mundo.
Il y a une source au centre du village.	Há uma fonte no centro da aldeia.
Nous devions faire au mieux avec notre petite maison.	Nós tivemos que fazer o melhor com a nossa pequena casa.
Est-ce que je ne travaillerais que les week-ends si je pouvais ? Bien sûr, que je le ferais.	Não trabalho nos finais de semana se pudesse? Claro, que eu faria.
Je déteste ça quand il y a trop de gens.	Eu odeio isso quando há muitas pessoas.
Nous devrions obéir aux règles.	Devemos obedecer as regras.
Je serais prudent.	Eu teria cuidado.
Je te le ferai savoir d'ici un jour ou deux.	Eu vou deixar você saber aqui um dia ou dois.
Il prétendit être ignorant.	Ele alegou ser ignorante.
Cet endroit n'est plus sûr.	Este lugar é mais seguro.
Tom dit qu'il a déjà payé.	Tom diz que já pagou.
J'ai travaillé dans un service postal durant les congés d'été.	Eu trabalhei em um serviço postal durante as férias de verão.
J'ai dit à Tom où j'avais acheté mon chapeau.	Eu disse a Tom onde eu tinha comprado meu chapéu.
Ça ne va pas coûter grand-chose.	Não vai custar muito.
Tom a attendu Noël avec impatience.	Tom esperou o Natal impaciente.
J'ai un nouveau livre sur lequel je travaille.	Eu tenho um novo livro sobre o qual eu trabalho.
Vous ne pouvez le garder secret.	Você não pode mantê-lo em segredo.
Elles sont très compatibles.	Eles são muito compatíveis.
Procède avec prudence.	Prossegue com cautela.
Je le lui expliquerai.	Eu vou explicar para ele.
Je dispose encore de juste assez de temps pour achever ça, je pense.	Eu ainda tenho tempo suficiente para completar isso, eu acho.
Mon père parle bien l'anglais.	Meu pai fala inglês bem.
"Je suis désolé, mais la réponse est ""Non!""."	"Me desculpe, mas a resposta é ""não!""."
Je suis venu ici pour te dire quelque chose d'important.	Eu vim aqui para te dizer algo importante.
Tom ne semble pas connaître Marie.	Tom não parece saber Marie.
Je préfère rester assis.	Eu prefiro sentar.
Nous devons en parler.	Temos que falar sobre isso.
Tu n'es pas censé fumer ici.	Você não deveria fumar aqui.
Ne sachant que faire, je lui demandai de l'aide.	Não sabendo o que fazer, pedi ajuda.
Je vais dormir.	Eu vou dormir.
Comment connais-tu tous ces trucs ?	Como você sabe todas essas coisas?
Assister et encourager l'ennemi est considéré comme de la trahison.	Ajudar e incentivar o inimigo é considerado traição.
Aimerais-tu entrer ?	Você gostaria de entrar?
Elles ont dormi dans la même pièce.	Eles dormiram no mesmo quarto.
L'homme lui subtilisa tout son argent.	O homem subtilizou seu dinheiro.
Tom peut être très charmant.	Tom pode ser muito charmoso.
Elle a presque été heurtée par une voiture.	Ela estava quase atingida por um carro.
Elle est forte.	Ela é forte.
Combien de livres avez-vous lus ?	Quantos livros você leu?
L'Allemagne avait alors une armée puissante.	Alemanha tinha um exército poderoso.
Nous ne nous sommes pas reconnus.	Nós não nos reconhecemos.
Marie étudie dans sa chambre.	Marie estudou em seu quarto.
Tom ne sait pas encore lire.	Tom não sabe ainda para ler.
Nous avons été choqués.	Nós ficamos chocados.
Ne le traite pas d'idiot.	Não o trate idiota.
Il est de ta responsabilité de terminer ce boulot.	É sua responsabilidade terminar este trabalho.
Le téléphone noir coûte plus cher que le blanc.	O telefone preto custa mais do que branco.
Tom fait quelque chose de stupide.	Tom faz algo estúpido.
Tom frappait plus fort.	Tom atingiu mais forte.
Je peux y regarder lorsque vous serez prêt.	Eu posso olhar para ele quando você estiver pronto.
Je vais chercher du lait.	Eu vou procurar leite.
Est-ce une nouvelle lampe ?	É uma nova lâmpada?
Je me réjouis de vous revoir.	Estou ansioso para vê-lo novamente.
Je fus capable de réussir grâce à votre conseil.	Eu consegui ter sucesso com o seu conselho.
Tom m'avait prévenu que ce serait bruyant ici.	Tom me avisou que seria barulhento aqui.
Cela ne signifie-t-il rien pour vous ?	Isso significa nada para você?
Pensez-vous qu'elles pourraient être dangereuses ?	Você acha que eles poderiam ser perigosos?
Les flics sont partis.	Os policiais se foram.
C'est rafraîchissant.	É refrescante.
Je me sentis très soulagée lorsque j'entendis les nouvelles.	Eu me senti muito aliviada quando ouvi as notícias.
Où l'abeille t'a-t-elle piqué ?	Onde a abelha te pingou?
Je me suis amusée.	Eu me diverti.
Sais-tu quand elles arriveront ?	Você sabe quando chegam?
Ne m'as-tu pas dit hier que toi et ton petit ami aviez rompu ?	Você não me disse ontem que você e seu namorado tinham quebrado?
Les ouvriers se sont mis en grève.	Os trabalhadores foram em greve.
Pourquoi me le donner maintenant ?	Por que dar para mim agora?
Ne soyez pas effrontées avec moi !	Não seja atrevido comigo!
Vous avez toutes réussi l'examen.	Todos vocês tiveram sucesso no exame.
Il tomba par hasard sur cette vieille pièce dans un magasin d'antiquités.	Ele caiu por acaso neste antigo quarto em uma antiga loja.
Je n'aime pas les devinettes.	Eu não gosto de enigmas.
Tu ne peux pas croire à n'importe qui.	Você não pode acreditar em ninguém.
Dois-je écrire à l'encre ?	Eu tenho que escrever na tinta?
J'y vais maintenant.	Eu estou indo agora.
Vous feriez mieux d'aller chez vous le plus tôt possible.	É melhor você ir para casa o mais rápido possível.
Vous devez être amoureux.	Você deve estar apaixonado.
Il est naturel qu'elle s'énerve.	É natural que fique com raiva.
Elle est affairée.	Ela está ocupada.
Je voulais que nous soyons heureux.	Eu queria que fôssemos felizes.
Il est grand et mince.	Ele é alto e magro.
J'ai dû laisser mon portefeuille dans le bus.	Eu tive que deixar minha carteira no ônibus.
Il fut en retard à cause de la neige.	Era tarde por causa da neve.
J'ai trouvé ce mot sur ma porte.	Eu encontrei esta palavra na minha porta.
La plupart des Japonais mangent du riz tous les jours.	A maioria dos japoneses come arroz todos os dias.
Je ne le dirai pas à Tom.	Eu não vou dizer a Tom.
Que penses-tu de l'économie japonaise ?	O que você acha da economia japonesa?
Elle reçut l'argent de lui.	Ela recebeu o dinheiro dele.
Ne veux-tu pas savoir ?	Você não quer saber?
L'horloge est cassée.	O relógio está quebrado.
J'ai enflammé l'allumette.	Eu inflamei a partida.
Vous a-t-elle montré la photo ?	Ela te mostrou a foto?
Arrête de te faire du souci pour ça et concentre-toi sur ton travail.	Pare de se preocupar com isso e focar no seu trabalho.
Tu as eu ce que tu voulais, n'est-ce pas ?	Você tinha o que queria, não?
Tom se cacha sous le lit avec le chat.	Tom se escondeu debaixo da cama com o gato.
J'ai tenté d'ouvrir la porte mais je n'ai pas pu parce qu'elle était verrouillée.	Eu tentei abrir a porta, mas não consegui porque estava trancada.
Il n'y a pas d'électricité dans la chambre.	Não há eletricidade na sala.
Pouvez-vous citer quelques aliments communément consommés aux États-Unis d'Amérique ?	Você pode citar alguns alimentos comumente consumidos nos Estados Unidos da América?
Je n'ai pas appelé d'ambulance.	Eu não chamei uma ambulância.
Vous avez une imagination fertile.	Você tem uma imaginação fértil.
Je fais une promenade un jour sur deux.	Eu dou um passeio um dia em dois.
Garde en mémoire ce qu’il a dit !	Tenha em mente o que ele disse!
Si, pour une raison quelconque, cela arrivait, que feriez-vous ?	Se, por algum motivo, aconteceu, o que você faria?
Le mieux est de ne pas demander.	O melhor é não perguntar.
Ce n'est pas rare du tout de vivre plus de 90 ans.	Não é incomum em todo viver mais de 90 anos.
Celle-ci est toujours vivante.	Este está sempre vivo.
Elle prétend qu'elle ne sait rien de lui mais je ne la crois pas.	Ela afirma que ela não sabe nada sobre ele, mas eu não acredito nisso.
N'oublie pas tes affaires.	Não esqueça o seu negócio.
Tom a l'air préoccupé.	Tom parece preocupado.
Il m'a demandé si j'aime les mathématiques.	Ele me perguntou se eu gosto de matemática.
L'ennemi s'attaqua à la ville.	O inimigo atacou a cidade.
Je suis désolé, je dois partir maintenant.	Me desculpe, eu tenho que sair agora.
Il pense qu'elles ne sont pas des êtres doués de sens.	Ele acha que não são seres trabalhados.
Elle pleura toute la nuit.	Ela chorou a noite toda.
Quand partira la prochaine navette de l'aéroport ?	Quando o próximo serviço de transporte do aeroporto?
C'est un esprit indépendant.	É um espírito independente.
Il est allé en Italie pour étudier la musique.	Ele foi para a Itália para estudar música.
Ce n'est pas la même chose.	Não é a mesma coisa.
Tom me donna de l'argent.	Tom me deu dinheiro.
Cela vaut-il le coup de passer du temps à essayer d'aider des gens qui ne veulent pas être aidés ?	Vale a pena passar tempo tentando ajudar as pessoas que não querem ser ajudadas?
Elle lui a fait un massage.	Ela fez dele uma massagem.
La cause de l'accident nous est inconnue.	A causa do acidente é desconhecida para nós.
Ne sois pas contrarié !	Não fique chateado!
Éprouves-tu toujours des sentiments à son égard ?	Você sempre sente sentimentos sobre isso?
Je me sens en sécurité, avec vous.	Eu me sinto segura, com você.
Ne laisse pas les enfants se battre.	Não deixe as crianças lutarem.
Vous ne devez pas manquer ça.	Você não precisa perder isso.
J'ai vraiment envie de te voir.	Eu realmente quero te ver.
Voudrais-tu vivre comme ça ?	Você gostaria de viver assim?
Ne sachant que répondre, je restai coi.	Não sabendo como responder, permaneci io.
« Tom a offert à Marie une boite de pralines et une rose à longue tige pour son anniversaire. » « C'est vraiment mignon. »	"""Tom ofereceu a Maria uma caixa de praline e uma longa vara para seu aniversário. """" É muito fofo. »"
